DocEntry;DocDate;CardCode;CardName;ItemCode;Dscription;Miktar;ShipToCode;Address2
1476;2021-10-31 00:00:00.000;M010117;HAMZAOĞLU AMBALAJ TİC.LTD.ŞTD.;TA000012192;MOD 27/BZ BEYAZ (URFA);100;CAGLAYAN AMBALAJ;ÇAGLAYAN AMBALAJ - KASIM ÇAGLAYAN ESENSEHIR MAH. BOSTANCIYOLU DERVISOGLU PASAJI NO:721  34000 İSTANBUL TÜRKIYE
1477;2021-10-31 00:00:00.000;M010117;HAMZAOĞLU AMBALAJ TİC.LTD.ŞTD.;TA000012182;MOD 24 LIGHT BEYAZ (URFA);250;INEBOLU AMB.;INEBOLU AMB. VE SÜS. MALZ. YILDIRIM BEYAZIT CAD. TARLA SOK. NO:2 YENI SAHRA  34000 İSTANBUL TÜRKIYE
1478;2021-10-31 00:00:00.000;M010117;HAMZAOĞLU AMBALAJ TİC.LTD.ŞTD.;TA000012182;MOD 24 LIGHT BEYAZ (URFA);250;INEBOLU AMB.;INEBOLU AMB. VE SÜS. MALZ. YILDIRIM BEYAZIT CAD. TARLA SOK. NO:2 YENI SAHRA  34000 İSTANBUL TÜRKIYE
1479;2021-10-31 00:00:00.000;M010117;HAMZAOĞLU AMBALAJ TİC.LTD.ŞTD.;TA000012155;MOD 23/AYZ_100 BEYAZ (URFA);30;CAGLAYAN AMBALAJ;ÇAGLAYAN AMBALAJ - KASIM ÇAGLAYAN ESENSEHIR MAH. BOSTANCIYOLU DERVISOGLU PASAJI NO:721  34000 İSTANBUL TÜRKIYE
1480;2021-10-31 00:00:00.000;M010117;HAMZAOĞLU AMBALAJ TİC.LTD.ŞTD.;TA000012131;MOD 2 Z_250 BEYAZ (URFA);250;INEBOLU AMB.;INEBOLU AMB. VE SÜS. MALZ. YILDIRIM BEYAZIT CAD. TARLA SOK. NO:2 YENI SAHRA  34000 İSTANBUL TÜRKIYE
1481;2021-10-31 00:00:00.000;M010117;HAMZAOĞLU AMBALAJ TİC.LTD.ŞTD.;TA000012131;MOD 2 Z_250 BEYAZ (URFA);250;INEBOLU AMB.;INEBOLU AMB. VE SÜS. MALZ. YILDIRIM BEYAZIT CAD. TARLA SOK. NO:2 YENI SAHRA  34000 İSTANBUL TÜRKIYE
1482;2021-10-31 00:00:00.000;M010117;HAMZAOĞLU AMBALAJ TİC.LTD.ŞTD.;TA000012131;MOD 2 Z_250 BEYAZ (URFA);200;CAGLAYAN AMBALAJ;ÇAGLAYAN AMBALAJ - KASIM ÇAGLAYAN ESENSEHIR MAH. BOSTANCIYOLU DERVISOGLU PASAJI NO:721  34000 İSTANBUL TÜRKIYE
1483;2021-10-31 00:00:00.000;M010117;HAMZAOĞLU AMBALAJ TİC.LTD.ŞTD.;TA000012113;MOD 16/A Z_150 BEYAZ (URFA);800;CAGLAYAN AMBALAJ;ÇAGLAYAN AMBALAJ - KASIM ÇAGLAYAN ESENSEHIR MAH. BOSTANCIYOLU DERVISOGLU PASAJI NO:721  34000 İSTANBUL TÜRKIYE
1484;2021-10-31 00:00:00.000;M010117;HAMZAOĞLU AMBALAJ TİC.LTD.ŞTD.;TA000012109;MOD 14/A_100 BEYAZ (URFA);50;INEBOLU AMB.;INEBOLU AMB. VE SÜS. MALZ. YILDIRIM BEYAZIT CAD. TARLA SOK. NO:2 YENI SAHRA  34000 İSTANBUL TÜRKIYE
1485;2021-10-31 00:00:00.000;M010117;HAMZAOĞLU AMBALAJ TİC.LTD.ŞTD.;TA000012109;MOD 14/A_100 BEYAZ (URFA);50;INEBOLU AMB.;INEBOLU AMB. VE SÜS. MALZ. YILDIRIM BEYAZIT CAD. TARLA SOK. NO:2 YENI SAHRA  34000 İSTANBUL TÜRKIYE
